advisor_id,advisor_name,firm_name,firm_type,region,aum_segment,client_type,assigned_rm_id,activity_count,avg_engagement,opp_count,committed_capital,expected_pipeline,engagement_score_norm,aum_score_norm,conv_prob_norm,product_fit_norm,recency_norm,priority_score,priority_tier,recommended_next_action,recommended_asset_class,estimated_commitment_opportunity
A0130,Timothy Goldberg,Granite Securities,Wirehouse,Southwest,5B+,Wealth,RM009,23.0,72.1304347826087,6.0,248000000.0,796000000.0,0.721304347826087,0.95,0.5166666666666666,1.0,0.8956043956043956,0.7968,High,Portfolio Review Conversation,Infrastructure,150595200
A0062,George Nguyen,Keystone Trust & Banking,Private Bank,Southeast,1B-5B,Wealth,RM016,67.0,81.86567164179104,5.0,0.0,289750000.0,0.8186567164179104,0.8,0.52,1.0,0.9697802197802198,0.7966,High,Schedule Due Diligence Meeting,Real Estate,60491812
A0376,Sharon Nakamura,Heritage Private Bank,Private Bank,West,5B+,Wealth,RM012,6.0,76.16666666666667,5.0,80500000.0,732000000.0,0.7616666666666667,0.95,0.47,1.0,0.8626373626373627,0.7963,High,Portfolio Review Conversation,Private Credit,150500700
A0201,Ryan Young,Bayview Pension Trust,Institutional Investor,Southeast,5B+,Institutional,RM008,19.0,84.21052631578948,4.0,0.0,898500000.0,0.8421052631578948,0.95,0.3375,1.0,0.8626373626373627,0.7939,High,Relationship Manager Follow-up,Private Credit,192917700
A0303,Nancy Gonzalez,Crescent Foundation,Institutional Investor,Southwest,5B+,Institutional,RM014,14.0,75.85714285714286,4.0,58750000.0,682250000.0,0.7585714285714286,0.95,0.4,1.0,0.9697802197802198,0.792,High,Portfolio Review Conversation,Private Credit,149688000
A0069,Patricia Lee,Eaglewood Pension Trust,Institutional Investor,Southeast,5B+,Institutional,RM016,23.0,74.91304347826087,5.0,198750000.0,762000000.0,0.7491304347826088,0.95,0.44,1.0,0.9120879120879121,0.7914,High,Portfolio Review Conversation,Real Estate,149574600
A0192,Timothy Hernandez,Sterling Foundation,Institutional Investor,Midwest,5B+,Institutional,RM004,22.0,88.72727272727273,4.0,0.0,603750000.0,0.8872727272727273,0.95,0.2375,1.0,0.8928571428571429,0.7905,High,Relationship Manager Follow-up,Private Credit,192091500
A0280,John Brown,Evergreen Advisors LLC,RIA,Midwest,1B-5B,Wealth,RM004,26.0,81.76923076923077,6.0,146750000.0,420750000.0,0.8176923076923077,0.8,0.475,1.0,0.9972527472527473,0.79,High,Portfolio Review Conversation,Private Credit,59990625
A0163,Jennifer Johnson,Compass Private Bank,Private Bank,Northeast,5B+,Wealth,RM014,6.0,83.16666666666667,7.0,0.0,1427500000.0,0.8316666666666667,0.95,0.3,1.0,0.9285714285714286,0.7899,High,Relationship Manager Follow-up,Infrastructure,191945700
A0327,Patricia Sanchez,Cornerstone Pension Trust,Institutional Investor,Midwest,5B+,Institutional,RM004,26.0,71.73076923076923,9.0,194750000.0,1396250000.0,0.7173076923076923,0.95,0.4277777777777778,1.0,0.9807692307692307,0.7863,High,Portfolio Review Conversation,Private Credit,148610700
A0255,George Goldberg,Riverstone Private Bank,Private Bank,Northeast,5B+,Wealth,RM014,9.0,81.77777777777777,6.0,0.0,1295250000.0,0.8177777777777777,0.95,0.2833333333333333,1.0,0.9587912087912088,0.7854,High,Relationship Manager Follow-up,Real Estate,190852200
A0048,Jennifer Adams,Meridian Endowment,Institutional Investor,Northeast,5B+,Institutional,RM007,26.0,75.5,5.0,0.0,861250000.0,0.755,0.95,0.37,1.0,0.9532967032967032,0.7833,High,Relationship Manager Follow-up,Private Credit,148043700
A0197,Betty Lopez,Riverstone Multi-Family Office,Family Office,West,1B-5B,Wealth,RM010,27.0,70.5925925925926,0.0,0.0,0.0,0.705925925925926,0.8,0.5967777777777779,1.0,0.9945054945054945,0.7806,High,Schedule Due Diligence Meeting,Private Credit,46104188
A0039,Brian Lee,Bayview Family Wealth,RIA,West,1B-5B,Wealth,RM001,12.0,78.41666666666667,4.0,65750000.0,274500000.0,0.7841666666666667,0.8,0.5,1.0,0.9478021978021978,0.78,High,Portfolio Review Conversation,Infrastructure,59231250
A0018,Charles Reed,Northstar Securities,Wirehouse,Northeast,5B+,Wealth,RM007,8.0,75.625,4.0,0.0,720500000.0,0.75625,0.95,0.4,1.0,0.8461538461538461,0.779,High,Relationship Manager Follow-up,Infrastructure,147231000
A0016,Ashley Sanchez,Compass Family Office,Family Office,Southwest,5B+,Wealth,RM002,5.0,74.4,5.0,266500000.0,686250000.0,0.7440000000000001,0.95,0.6,0.75,0.8489010989010989,0.7781,High,Portfolio Review Conversation,Infrastructure,147060900
A0208,Deborah Sanchez,Vanguard Private Bank,Private Bank,Northeast,1B-5B,Wealth,RM014,19.0,72.47368421052632,3.0,67500000.0,161250000.0,0.7247368421052631,0.8,0.5333333333333333,1.0,0.9972527472527473,0.7738,High,Portfolio Review Conversation,Private Credit,45702562
A0325,Jason Rodriguez,Summit Private Bank,Private Bank,Northeast,1B-5B,Wealth,RM006,8.0,64.5,2.0,55250000.0,88500000.0,0.645,0.8,0.75,1.0,0.793956043956044,0.7729,High,Portfolio Review Conversation,Private Credit,45649406
A0170,Deborah Hill,Ironwood Insurance Investments,Institutional Investor,West,1B-5B,Institutional,RM012,12.0,77.66666666666667,6.0,37000000.0,216250000.0,0.7766666666666667,0.8,0.45,1.0,0.9972527472527473,0.7727,High,Portfolio Review Conversation,Real Estate,45637594
A0235,Ryan O'Brien,Crown Family Office,Family Office,Midwest,1B-5B,Wealth,RM005,5.0,71.8,3.0,115750000.0,190000000.0,0.718,0.8,0.7,1.0,0.6648351648351649,0.7719,High,Portfolio Review Conversation,Private Credit,45590344
A0343,Jason Garcia,Crown Insurance Investments,Institutional Investor,Northeast,5B+,Institutional,RM004,96.0,72.30208333333333,7.0,72500000.0,1185000000.0,0.7230208333333333,0.95,0.3357142857142857,1.0,1.0,0.7715,High,Portfolio Review Conversation,Real Estate,145813500
A0093,Carol Reed,Harbor Private Capital,Family Office,West,1B-5B,Wealth,RM012,23.0,57.21739130434783,2.0,46000000.0,83000000.0,0.5721739130434783,0.8,0.75,1.0,0.9917582417582418,0.7708,High,Portfolio Review Conversation,Private Credit,30350250
A0121,Karen Moore,Keystone Trust & Banking,Private Bank,Southwest,5B+,Wealth,RM010,39.0,73.25641025641026,6.0,47250000.0,864750000.0,0.7325641025641026,0.95,0.325,1.0,0.9807692307692307,0.7703,High,Portfolio Review Conversation,Private Credit,145586700
A0382,Sandra Gonzalez,Frontier Private Bank,Private Bank,West,1B-5B,Wealth,RM010,47.0,80.42553191489361,5.0,54750000.0,203750000.0,0.8042553191489361,0.8,0.42,1.0,0.9340659340659341,0.7687,High,Portfolio Review Conversation,Private Credit,58373156
A0239,Kevin Taylor,Meridian Securities,Wirehouse,Southwest,5B+,Wealth,RM003,55.0,60.21818181818182,4.0,68000000.0,363000000.0,0.6021818181818182,0.95,0.5,1.0,0.9917582417582418,0.7673,High,Portfolio Review Conversation,Private Credit,96679800
A0297,Donna Walker,Ironwood Multi-Family Office,Family Office,Northeast,5B+,Wealth,RM006,20.0,73.05,2.0,0.0,253250000.0,0.7304999999999999,0.95,0.3,1.0,0.9945054945054945,0.7661,High,Relationship Manager Follow-up,Infrastructure,144792900
A0074,Lisa Clark,Riverstone Pension Trust,Institutional Investor,Southeast,5B+,Institutional,RM008,22.0,60.54545454545455,1.0,0.0,58250000.0,0.6054545454545455,0.95,0.5,1.0,0.967032967032967,0.7658,High,Schedule Due Diligence Meeting,Private Credit,96490800
A0363,Steven Garcia,Evergreen Pension Trust,Institutional Investor,Northeast,1B-5B,Institutional,RM012,21.0,77.19047619047619,8.0,127750000.0,437000000.0,0.7719047619047619,0.8,0.4125,1.0,0.9835164835164835,0.7624,High,Portfolio Review Conversation,Private Credit,57894750
A0124,James Williams,Pinnacle Advisory Group,Consultant,Northeast,1B-5B,Institutional,RM007,24.0,86.0,3.0,0.0,261250000.0,0.86,0.8,0.2833333333333333,1.0,0.9532967032967032,0.76,High,Relationship Manager Follow-up,Private Equity,57712500
A0072,Kimberly Harris,Cedar Private Bank,Private Bank,Southwest,5B+,Wealth,RM009,21.0,80.23809523809524,2.0,0.0,568500000.0,0.8023809523809524,0.95,0.175,1.0,0.9560439560439561,0.7588,High,Relationship Manager Follow-up,Real Estate,184388400
A0132,Deborah Williams,Granite Advisory Group,Consultant,Northeast,1B-5B,Institutional,RM007,19.0,68.42105263157895,4.0,48250000.0,223750000.0,0.6842105263157895,0.8,0.525,1.0,0.9697802197802198,0.7572,High,Portfolio Review Conversation,Private Credit,44722125
A0071,Amanda Perez,Evergreen Wealth Management,Wirehouse,Southwest,1B-5B,Wealth,RM003,58.0,56.775862068965516,6.0,110500000.0,235750000.0,0.5677586206896552,0.8,0.6833333333333332,1.0,0.9862637362637363,0.7556,High,Portfolio Review Conversation,Real Estate,29751750
A0107,James Adams,Compass Wealth Management,RIA,Northeast,1B-5B,Wealth,RM004,25.0,68.24,6.0,42750000.0,321500000.0,0.6823999999999999,0.8,0.5166666666666666,1.0,0.9697802197802198,0.755,High,Portfolio Review Conversation,Private Equity,44592188
A0215,Sharon Cohen,Crescent Private Wealth,Private Bank,Southwest,5B+,Wealth,RM005,7.0,71.71428571428571,5.0,116000000.0,870750000.0,0.7171428571428571,0.95,0.4,1.0,0.7115384615384616,0.7538,High,Portfolio Review Conversation,Private Credit,142468200
A0030,David Kim,Vanguard Family Office,Family Office,Southwest,1B-5B,Wealth,RM009,21.0,82.52380952380952,4.0,0.0,236000000.0,0.8252380952380952,0.8,0.275,1.0,1.0,0.7526,High,Relationship Manager Follow-up,Real Estate,57150562
A0352,Barbara Young,Ironwood Multi-Family Office,Family Office,International,1B-5B,Wealth,RM002,18.0,83.38888888888889,8.0,0.0,504250000.0,0.8338888888888889,0.8,0.2625,1.0,0.989010989010989,0.7516,High,Relationship Manager Follow-up,Real Estate,57074625
A0054,Melissa Wilson,Compass Insurance Investments,Institutional Investor,Southwest,1B-5B,Institutional,RM003,40.0,70.6,3.0,69250000.0,141250000.0,0.706,0.8,0.45,1.0,0.9972527472527473,0.7515,High,Portfolio Review Conversation,Infrastructure,44385469
A0317,Charles Chen,Vanguard Family Office,Family Office,Northeast,1B-5B,Wealth,RM011,27.0,73.14814814814815,6.0,75750000.0,257000000.0,0.7314814814814815,0.8,0.4083333333333334,1.0,0.9587912087912088,0.747,High,Portfolio Review Conversation,Real Estate,44119688
A0041,Jennifer Harris,Ridge Wealth Management,Wirehouse,Southeast,1B-5B,Wealth,RM008,24.0,70.29166666666667,5.0,51000000.0,218750000.0,0.7029166666666667,0.8,0.45,1.0,0.9505494505494505,0.7459,High,Portfolio Review Conversation,Private Credit,44054719
A0298,Sharon Lee,Summit Family Office,Family Office,Southeast,5B+,Wealth,RM008,3.0,57.333333333333336,4.0,80500000.0,466500000.0,0.5733333333333334,0.95,0.6875,0.75,0.8461538461538461,0.7441,High,Portfolio Review Conversation,Private Credit,93756600
A0119,Laura Robinson,Vanguard Multi-Family Office,Family Office,Northeast,5B+,Wealth,RM007,9.0,74.11111111111111,2.0,0.0,278500000.0,0.7411111111111112,0.95,0.425,0.75,0.8653846153846154,0.7439,High,Relationship Manager Follow-up,Infrastructure,140597100
A0112,Cynthia Thomas,Heritage Private Wealth,Private Bank,International,1B-5B,Wealth,RM013,11.0,75.72727272727273,5.0,0.0,153750000.0,0.7572727272727273,0.8,0.35,1.0,0.9642857142857143,0.7436,High,Relationship Manager Follow-up,Real Estate,43918875
A0302,George Jones,Heritage Pension Trust,Institutional Investor,West,5B+,Institutional,RM001,10.0,59.7,3.0,149000000.0,413750000.0,0.597,0.95,0.41666666666666663,1.0,0.9313186813186813,0.7431,High,Portfolio Review Conversation,Infrastructure,93630600
A0238,Donald Flores,Keystone Securities,Wirehouse,International,5B+,Wealth,RM015,17.0,56.76470588235294,1.0,0.0,63000000.0,0.5676470588235294,0.95,0.5,1.0,0.8379120879120879,0.7416,High,Schedule Due Diligence Meeting,Private Credit,93441600
A0194,Ashley Patel,Meridian Wealth Partners,RIA,International,500M-1B,Wealth,RM002,6.0,84.66666666666667,5.0,35750000.0,94000000.0,0.8466666666666667,0.6,0.67,0.75,0.9093406593406593,0.7414,High,Portfolio Review Conversation,Real Estate,16890019
A0299,Richard Harris,Granite Trust & Banking,Private Bank,Northeast,100M-500M,Wealth,RM006,34.0,76.76470588235294,4.0,4500000.0,18250000.0,0.7676470588235295,0.4,0.8125,1.0,0.9835164835164835,0.7411,High,Portfolio Review Conversation,Private Credit,6753274
A0337,Timothy Rodriguez,Sterling Insurance Investments,Institutional Investor,International,1B-5B,Institutional,RM002,14.0,74.21428571428571,4.0,31750000.0,221750000.0,0.7421428571428571,0.8,0.3625,1.0,0.9587912087912088,0.741,High,Portfolio Review Conversation,Private Equity,43765312
A0349,Anthony Nguyen,Sterling Wealth Partners,RIA,Northeast,1B-5B,Wealth,RM014,40.0,80.225,6.0,0.0,277500000.0,0.8022499999999999,0.8,0.25,1.0,0.9972527472527473,0.7404,High,Relationship Manager Follow-up,Infrastructure,56224125
A0165,Melissa Hernandez,Sterling Foundation,Institutional Investor,Northeast,1B-5B,Institutional,RM011,28.0,78.92857142857143,9.0,0.0,586000000.0,0.7892857142857143,0.8,0.2722222222222222,1.0,0.9807692307692307,0.7393,High,Relationship Manager Follow-up,Private Credit,56140594
A0236,Betty Garcia,Keystone Trust & Banking,Private Bank,Northeast,5B+,Wealth,RM006,15.0,71.0,3.0,0.0,424000000.0,0.71,0.95,0.2,1.0,0.967032967032967,0.7372,High,Relationship Manager Follow-up,Private Credit,139330800
A0390,Christopher Anderson,Crescent Multi-Family Office,Family Office,West,1B-5B,Wealth,RM001,11.0,69.54545454545455,4.0,65500000.0,211250000.0,0.6954545454545454,0.8,0.4375,1.0,0.8846153846153846,0.7346,High,Portfolio Review Conversation,Private Equity,43387312
A0324,Cynthia Smith,Frontier Trust & Banking,Private Bank,Southeast,1B-5B,Wealth,RM008,20.0,68.5,8.0,113500000.0,404250000.0,0.685,0.8,0.4,1.0,0.9862637362637363,0.7341,High,Portfolio Review Conversation,Private Credit,43357781
A0293,David Lee,Compass Pension Trust,Institutional Investor,Midwest,1B-5B,Institutional,RM001,25.0,72.56,3.0,0.0,122250000.0,0.7256,0.8,0.33333333333333337,1.0,0.9835164835164835,0.7327,High,Relationship Manager Follow-up,Infrastructure,43275094
A0042,Michael Perez,Halcyon Private Bank,Private Bank,West,5B+,Wealth,RM009,11.0,55.09090909090909,3.0,0.0,239250000.0,0.5509090909090909,0.95,0.41666666666666663,1.0,0.9615384615384616,0.7323,High,Relationship Manager Follow-up,Private Equity,92269800
A0386,Ronald Singh,Sterling Global Markets,Wirehouse,Southwest,1B-5B,Wealth,RM003,21.0,81.23809523809524,5.0,0.0,312000000.0,0.8123809523809524,0.8,0.2,1.0,0.9835164835164835,0.7321,High,Relationship Manager Follow-up,Private Credit,55593844
A0087,Brian Patel,Harbor Securities,Wirehouse,International,5B+,Wealth,RM013,23.0,68.08695652173913,5.0,79000000.0,602750000.0,0.6808695652173913,0.95,0.26,1.0,0.8791208791208791,0.7317,High,Portfolio Review Conversation,Private Credit,138291300
A0035,Anthony Nakamura,Halcyon Foundation,Institutional Investor,International,5B+,Institutional,RM002,18.0,58.888888888888886,2.0,0.0,255500000.0,0.5888888888888889,0.95,0.375,1.0,0.9093406593406593,0.7301,High,Relationship Manager Follow-up,Real Estate,91992600
A0199,Steven Lewis,Coastal Multi-Family Office,Family Office,Northeast,5B+,Wealth,RM014,28.0,62.464285714285715,5.0,0.0,630250000.0,0.6246428571428572,0.95,0.27,1.0,1.0,0.7289,High,Relationship Manager Follow-up,Private Credit,91841400
A0008,William Sanchez,Keystone Capital Advisors,RIA,West,100M-500M,Wealth,RM010,25.0,62.32,1.0,5250000.0,5000000.0,0.6232,0.4,1.0,1.0,0.9120879120879121,0.7282,High,Portfolio Review Conversation,Real Estate,5161118
A0065,Edward King,Lighthouse Private Capital,Family Office,Northeast,1B-5B,Wealth,RM005,24.0,85.16666666666667,4.0,0.0,264750000.0,0.8516666666666667,0.8,0.15,1.0,0.9258241758241759,0.7281,High,Relationship Manager Follow-up,Infrastructure,55290094
A0186,Barbara Martinez,Meridian Trust & Banking,Private Bank,Northeast,1B-5B,Wealth,RM006,56.0,70.48214285714286,6.0,0.0,251000000.0,0.7048214285714286,0.8,0.33333333333333337,1.0,0.9917582417582418,0.7273,High,Relationship Manager Follow-up,Real Estate,42956156
A0138,Patricia Martin,Summit Private Bank,Private Bank,Southeast,500M-1B,Wealth,RM016,11.0,76.72727272727273,2.0,11500000.0,40500000.0,0.7672727272727273,0.6,0.55,1.0,0.8598901098901099,0.7262,High,Portfolio Review Conversation,Infrastructure,16543744
A0176,Nancy Martinez,Meridian Private Bank,Private Bank,Southwest,1B-5B,Wealth,RM003,10.0,72.9,7.0,80500000.0,341500000.0,0.7290000000000001,0.8,0.29285714285714287,1.0,0.989010989010989,0.7262,High,Portfolio Review Conversation,Private Credit,42891188
A0360,Karen Hill,Ironwood Private Capital,Family Office,International,1B-5B,Wealth,RM013,8.0,82.625,7.0,0.0,346750000.0,0.82625,0.8,0.2571428571428572,1.0,0.7582417582417582,0.7251,High,Relationship Manager Follow-up,Private Credit,55062281
A0380,Sandra Thompson,Vanguard Family Office,Family Office,Southeast,1B-5B,Wealth,RM003,11.0,56.54545454545455,2.0,0.0,49500000.0,0.5654545454545454,0.8,0.625,1.0,0.7664835164835164,0.7213,High,Schedule Due Diligence Meeting,Private Equity,28401188
A0146,Karen Anderson,Liberty Foundation,Institutional Investor,Southeast,5B+,Institutional,RM016,30.0,73.53333333333333,5.0,0.0,896000000.0,0.7353333333333333,0.95,0.11,1.0,0.9093406593406593,0.721,High,Relationship Manager Follow-up,Private Credit,136269000
A0222,Edward Lopez,Ridge Family Office,Family Office,West,1B-5B,Wealth,RM010,15.0,65.8,4.0,0.0,179000000.0,0.6579999999999999,0.8,0.4,1.0,0.9313186813186813,0.7205,High,Relationship Manager Follow-up,Private Credit,42554531
A0021,Laura Goldberg,Frontier Family Office,Family Office,West,5B+,Wealth,RM010,17.0,72.11764705882354,5.0,0.0,646500000.0,0.7211764705882353,0.95,0.13,1.0,0.8928571428571429,0.7191,High,Relationship Manager Follow-up,Infrastructure,135909900
A0096,George Sullivan,Crescent Global Markets,Wirehouse,West,1B-5B,Wealth,RM010,34.0,79.55882352941177,6.0,0.0,377000000.0,0.7955882352941177,0.8,0.15,1.0,1.0,0.7187,High,Relationship Manager Follow-up,Infrastructure,54576281
A0073,Steven Reed,Ironwood Private Bank,Private Bank,Northeast,1B-5B,Wealth,RM002,19.0,56.63157894736842,2.0,0.0,47500000.0,0.5663157894736842,0.8,0.5,1.0,0.9807692307692307,0.718,High,Schedule Due Diligence Meeting,Private Credit,28271250
A0210,Laura Ramirez,Liberty Insurance Investments,Institutional Investor,West,1B-5B,Institutional,RM012,16.0,58.625,3.0,0.0,138000000.0,0.58625,0.8,0.5,1.0,0.9203296703296704,0.7179,High,Schedule Due Diligence Meeting,Private Credit,28267312
A0129,Jason Kim,Eaglewood Trust & Banking,Private Bank,Northeast,1B-5B,Wealth,RM011,9.0,69.0,5.0,0.0,295250000.0,0.69,0.8,0.5,0.75,0.9725274725274725,0.7168,High,Schedule Due Diligence Meeting,Private Credit,42336000
A0090,James Robinson,Halcyon Global Markets,Wirehouse,Northeast,5B+,Wealth,RM014,19.0,58.31578947368421,4.0,0.0,422500000.0,0.5831578947368421,0.95,0.275,1.0,0.9862637362637363,0.7161,High,Relationship Manager Follow-up,Infrastructure,90228600
A0195,Donna Sanchez,Granite Foundation,Institutional Investor,Midwest,1B-5B,Institutional,RM005,9.0,65.0,9.0,72750000.0,408500000.0,0.65,0.8,0.37222222222222223,1.0,0.9615384615384616,0.7156,High,Portfolio Review Conversation,Infrastructure,42265125
A0013,Joseph Scott,Ridge Family Wealth,RIA,Northeast,500M-1B,Wealth,RM011,27.0,49.22222222222222,3.0,7000000.0,18750000.0,0.4922222222222222,0.6,0.8333333333333333,1.0,0.9945054945054945,0.7138,High,Portfolio Review Conversation,Infrastructure,8431762
A0187,Donna Perez,Cornerstone Multi-Family Office,Family Office,Southwest,5B+,Wealth,RM009,5.0,68.4,9.0,402250000.0,1245750000.0,0.684,0.95,0.5222222222222223,0.75,0.5357142857142857,0.7132,High,Portfolio Review Conversation,Infrastructure,134794800
A0353,Charles Wright,Evergreen Multi-Family Office,Family Office,Midwest,5B+,Wealth,RM004,5.0,77.2,4.0,0.0,919500000.0,0.772,0.95,0.2125,0.75,0.8901098901098901,0.7131,High,Relationship Manager Follow-up,Real Estate,173283300
A0086,Elizabeth Cohen,Northstar Advisors LLC,RIA,Southwest,1B-5B,Wealth,RM003,14.0,56.714285714285715,4.0,47250000.0,96500000.0,0.5671428571428572,0.8,0.525,1.0,0.8736263736263736,0.7125,High,Portfolio Review Conversation,Real Estate,28054688
A0020,Linda White,Bayview Advisory Group,Consultant,Northeast,500M-1B,Institutional,RM014,24.0,68.625,5.0,18000000.0,70250000.0,0.68625,0.6,0.57,1.0,0.9258241758241759,0.7125,High,Portfolio Review Conversation,Infrastructure,12624609
A0091,Carol Williams,Liberty Global Markets,Wirehouse,Southwest,1B-5B,Wealth,RM009,12.0,76.41666666666667,7.0,0.0,370000000.0,0.7641666666666667,0.8,0.17142857142857143,1.0,0.9807692307692307,0.7116,High,Relationship Manager Follow-up,Private Credit,42028875
A0148,Deborah O'Brien,Riverstone Securities,Wirehouse,Northeast,1B-5B,Wealth,RM011,4.0,59.5,4.0,0.0,156750000.0,0.595,0.8,0.4375,1.0,0.945054945054945,0.7105,High,Relationship Manager Follow-up,Infrastructure,41963906
A0095,Joseph Lopez,Pinnacle Wealth Management,RIA,International,1B-5B,Wealth,RM003,31.0,81.48387096774194,4.0,0.0,255250000.0,0.8148387096774193,0.8,0.075,1.0,1.0,0.7095,High,Relationship Manager Follow-up,Infrastructure,53877656
A0338,Kevin Nakamura,Halcyon Wealth Management,RIA,Northeast,1B-5B,Wealth,RM007,13.0,57.46153846153846,4.0,0.0,178000000.0,0.5746153846153846,0.8,0.4375,1.0,0.9945054945054945,0.7093,High,Relationship Manager Follow-up,Private Credit,27928688
A0136,Deborah Lee,Ridge Private Capital,Family Office,West,1B-5B,Wealth,RM010,19.0,54.31578947368421,2.0,0.0,22000000.0,0.5431578947368422,0.8,0.5,1.0,0.9368131868131868,0.7066,High,Schedule Due Diligence Meeting,Real Estate,27822375
A0209,Joshua Allen,Halcyon Insurance Investments,Institutional Investor,West,1B-5B,Institutional,RM010,9.0,68.33333333333333,7.0,106750000.0,324000000.0,0.6833333333333332,0.8,0.4928571428571428,0.75,0.9038461538461539,0.7065,High,Portfolio Review Conversation,Real Estate,41727656
A0099,Karen Rodriguez,Compass Private Wealth,Private Bank,West,500M-1B,Wealth,RM001,27.0,80.92592592592592,4.0,0.0,90250000.0,0.8092592592592592,0.6,0.3375,1.0,0.9615384615384616,0.7064,High,Relationship Manager Follow-up,Private Credit,16092675
A0200,Brian Murphy,Sterling Pension Trust,Institutional Investor,Northeast,5B+,Institutional,RM007,40.0,73.7,1.0,0.0,128000000.0,0.737,0.95,0.0,1.0,0.9697802197802198,0.7056,High,Relationship Manager Follow-up,Real Estate,133358400
A0078,Mark Sullivan,Halcyon Private Capital,Family Office,Southeast,1B-5B,Wealth,RM016,36.0,79.27777777777777,3.0,0.0,226000000.0,0.7927777777777777,0.8,0.1,1.0,0.9752747252747253,0.7054,High,Relationship Manager Follow-up,Real Estate,53566312
